"Enabled","Ativar"
"Rest to pay:","Falta a autorizar:"
"on Credit Card nº","no Cartão de Crédito nº"
"authorized","autorizado"
"not authorized","não autorizado"
"Choose a payment method above to complete your order","Escolha um método de pagamento abaixo para concluir seu pedido"
"Order cancelled","Pedido cancelado"
"You cannot capture having ClearSale activated.","Você tem ClearSale ativado, seu pedido será analisado pelo mesmo."
"You cannot capture Boleto Bancário.","Você não pode capturar um Boleto Bancário, o pagamento será notificado pela sua URL de retorno."
"Try again!","Tente novamente por favor."
"Address_2","Número"
"Address_3","Bairro"
"CPF or CNPJ is invalid","O CPF ou CNPJ informado é inválido"
"Grand Total","Valor Total"
"click to update","clique para atualizar"
"Product Name","Produto"
"Price","Valor"
"Qty","Qtd"
"Order #%s - %s","Pedido #%s - %s"
"Order Date: %s","Data do pedido: %s"
"Billing Address","Endereço de Cobrança"
"Shipping Address","Endereço de Envio"
"Shipping Method","Método de Envio"
"Shipping & Handling","Envio"
"Discount","Desconto"
"Continue Shopping","Continuar comprando"
"Unable to capture order.","Impossível capturar o pedido."
"Unable to void order.","Impossível cancelar o pedido."
"Unable to refund order.","Impossível estornar o pedido."
"Interest","Juros"
